Αἰάκης	Æakès, (h.)
ἐπιτοξῖτις	cannelure du tiroir ou siège du trait (dans l'engin εὐθύτονον)
ἐπιτράπεζος	qui est sur la table ; qui concerne la table, de table
ἐπιτραγία	la déesse au bouc
ἐπιτροπέω	tourner vers ou sur ; confier
ἐπιτροχάω	courir sur ; courir auprès ou près de
ἐπιτρόπευσις	tutelle, intendance
ἐπιφαύω	commencer à luire, se lever
ἐπιφωνημάτιον	dim. d'ἐπιφώνημα (exclamation, interjection, épiphonème)
ἐπιχορδίς	mésentère, enveloppe des intestins
ἐπιχράομαι	se servir fréquemment de, avoir des relations habituelles avec ; abuser de
ἐπιχύνω	verser sur, répandre sur ; verser par-dessus ; se répandre sur ; se répandre contre, se précipiter comme un torrent sur ; se répandre jusqu'à, se développer ; répandre pour soi ou par soi-même ; se faire verser à boire
ἐπιόπτης	qui observe, qui veille à ou sur, qui préside à ; qui contemple (les mystères), initié du plus haut degré aux mystères d'Éleusis
ἐποίνιος	qui se fait ou se chante en buvant, à table
ἐποικία	colonisation d'un pays, colonie ; bien de campagne, ferme
ἐποποῖ	cri de la huppe
ἐποπτήρ	qui veille à ou sur
ἐποράω	voir ou regarder sur ; voir ou regarder vers, apercevoir au loin, entrevoir de loin : l'espace en avant
ἐπορθοβοάω	pousser des cris vers ou contre
ἐποριγνάομαι	???? Renvoi sans Issue ????
ἐπουλίς	grosseur à la gencive
ἐποφθαλμέω	jeter un œil d'envie, un regard de convoitise ; adresser un regard amical
ἐποφθαλμίζω	jeter un œil d'envie, un regard de convoitise ; adresser un regard amical
ἐπωθίζω	se pousser sur, se heurter à
ἐπωφέλιμος	utile
ἐπωφελία	secours, avantage, utilité
ἐπόμβριος	pluvieux
ἐπώδης	fétide
ἐπώδυνος	qui cause de la douleur, douloureux ; causé par la douleur
ἐπώμιος	placé sur l'épaule
ἐπώχατο	fermer, assujettir
ἐπᾴσσω	s'élancer sur
ἐπῳασμός	action de couver, incubation
ἐρ́εθω	provoquer ; exciter, irriter ; mettre en mouvement
ἐρέικη	sorte de bruyère qui pousse en arbrisseau
ἐρέικω	se briser
ἐρέομαι	demander
ἐρίβωλος	aux mottes fertiles, au sol fécond
ἐρίδηλος	très clair, très connu
ἐρίζωος	qui vit longtemps, vivace
ἐρίκλαυστος	pleuré avec beaucoup de larmes
ἐρίσχηλος	insulteur
ἐρίωπις	Ériôpis
ἐρανισμός	collecte
ἐραστεύω	être passionné pour
ἐρατοπλόκαμος	aux tresses aimables
ἐραυνάω	rechercher, chercher, chercher à connaître
ἐργάτις	qui travaille à, qui produit par son travail, artisan de
ἐργαλεῖον	instrument de travail, outil
ἐργολάβος	qui se charge d'un travail moyennant une somme, entrepreneur à forfait ; lucratif
ἐργολήπτης	qui se charge d'un travail moyennant une somme, entrepreneur à forfait ; lucratif
ἐργοστόλος	qui préside à un travail
ἐργωνία	entreprise d'un travail à forfait
ἐρεγμός	farine de fèves
ἐρεισμός	appui
ἐρεμναῖος	obscur, sombre, ténébreux ; sombre, noir, (nuit, tempête, égide, etc.) ; obscur
ἐρεσχελέω	tenir des propos légers ; offenser par des propos légers ou moqueurs
ἐρετμίον	dim. d’ἐρετμόν (rame)
ἐρευγμώδης	qui provoque des rapports
ἐρευθής	rouge
ἐρευνήτρια	fém. d’ἐρευνητήρ (investigateur, chercheur)
ἐρευνητήρ	investigateur, chercheur
ἐρημάς	déserte, solitaire
ἐρημιάς	solitude
ἐρημόνομος	qui paît ou vit dans les lieux solitaires, sauvage
ἐριβρύχης	au bruit retentissant
ἐριθεύς	le perroquet
ἐρινάς	figuier sauvage ; figue sauvage
ἐρινύω	être en fureur
ἐριοκόμος	qui travaille la laine
ἐριοπλύτης	laveur de laine
ἐριούνης	le rapide ou le bienfaisant ; bienfaisant
ἐριούνιος	le rapide ou le bienfaisant ; bienfaisant
ἐριστής	querelleur, disputeur
ἐρισύβη	nielle, rouille du blé
ἐριώδυνος	qui cause de grandes douleurs
ἐριῶπις	fém. d'ἐριώπης (aux grands yeux)
ἐρρεντί	entièrement, absolument
ἐρρηνοβοσκός	qui élève des agneaux
ἐρρηφορέω	porter en procession les vêtements ou objets sacrés d'Athèna
ἐρσώδης	semblable à la rosée, humide ou frais comme la rosée
ἐρυγμός	éructation, rot
ἐρυθρόδανον	garance
ἐρυθρόδανος	garance
ἐρυθρόνιον	sorte de satyrion rouge
ἐρυθρώδης	d'apparence rouge, rougeâtre
ἐρυθῖνος	rouget
ἐρυμάτιον	dim. d’ἔρυμα (abri)
ἐρυσίσκηπτρον	sorte d'arbrisseau épineux
ἐρωή	mouvement impétueux, impétuosité, élan ; désir passionné ; action de se retirer, retraite précipitée, fuite
ἐρωτηματίζω	poser des questions à l'interlocuteur pour l'amener à une conclusion
ἐρωτιάς	amoureuse
ἐρωτομανέω	être fou d'amour
ἐρωτομανής	fou d'amour
ἐσία	biens, fortune, richesse
ἐσηλυσίη	action d'entrer, entrée
ἐσσία	biens, fortune, richesse
ἐσφορέω	porter dans
ἐσχάτιος	qui est à l'extrémité, extrême, dernier
ἐσχατόγηρος	parvenu à une extrême vieillesse
ἐσώτερος	plus intérieur, plus intime
ἐτέρωτα	en venant de l'autre côté ; d'un autre côté ; de l'autre côté, en face ; en un autre temps
ἐτασμός	examen, recherche
ἐτησιάς	périodique, annuelle
ἐτητυμίη	vérité
ἐτνίτης	pain préparé avec des jaunes d'œuf ou de la purée de légumes
ἐυπλεκής	bien tressé (corde, filet, chevelure)
ἐυπλοκαμίς	aux belles boucles, aux beaux cheveux bouclés
ἐυρρείτης	???? Renvoi sans Issue ????
ἐφάρμοσις	action d'adapter, d'ajuster, convenance, harmonie
ἐφήβια	adolescence ; &gt; ἐφηϐεῖον
ἐφίπταμαι	voler sur ou vers
ἐφαγιστεύω	accomplir sur (un tombeau) les cérémonies saintes
ἐφαγνίζω	accomplir sur (un tombeau) les cérémonies saintes
ἐφαιρέομαι	élire à la place d'un autre
ἐφεδριάω	s'asseoir sur, se poser sur
ἐφεξκαιδέκατος	qui comprend un entier et ¹⁄₁₆
ἐφερπύζω	ramper vers, se glisser vers ou jusqu'à ; s'avancer peu à peu
ἐφεστρίδιον	dim. d'ἐφεστρίς (vêtement de dessus)
ἐφηβία	adolescence ; &gt; ἐφηϐεῖον
ἐφηλίς	sorte d'agrafe ou de clavette sur un couvercle de boîte, fermoir
ἐφημερινός	quotidien
ἐφιάλτιον	plante salutaire contre le cauchemar
ἐφιελίς	du grand-prêtre chez les Juifs
ἐφιμείρω	désirer
ἐφιστάω	arrêter
ἐχίειον	vipérine
ἐχεδημία	Ekhédèmia
ἐχερρημοσύνη	habitude du silence, discrétion
ἐχθέω	haïr, détester
ἐχθιζινός	d'hier, de la veille
ἐχθρία	haine contre
ἐχιναῖος	de vipère
ἐχιόδηκτος	mordu par une vipère
ἐχόντως	sagement, prudemment
ἐωρέω	lever en l'air ; balancer en l'air, se balancer dans les airs ; lancer en l'air ; s'élancer, jaillir
ἐύκτιτος	bien bâti
ἐύπλοκος	bien tressé (corde, filet, chevelure)
ἐύρρειτος	au cours facile ou abondant (le Scamandre) ; dont les conduits d'écoulement ou les pores fonctionnent bien
ἐύτμητος	bien coupé
ἐώρα	lacet ; chanson appelée aussi
ἑβδοματικός	septuple
ἑκάστοθεν	de tout côté
ἑκατάβολος	qui lance ses traits au loin
ἑκαταβόλος	qui lance ses traits au loin
ἑκατηβελέτις	six
ἑκατογκάρανος	???? Renvoi sans Issue ????
ἑκατογκέφαλος	à cent têtes
ἑκατομπτολίεθρος	aux cent villes
ἑκατοντάπυλος	à cent portes
ἑκατοντάχειρ	???? Renvoi sans Issue ????
ἑκατονταετής	de cent ans, séculaire
ἑκατοντακάρανος	???? Renvoi sans Issue ????
ἑκατοντακέφαλος	à cent têtes
ἑκατοντορόγυιος	de cent brasses
ἑκατοντούτης	de cent ans, séculaire
ἑκατοντοῦτις	adj. fém. d'ἑκατοντούτης (de cent ans, séculaire)
ἑκατόγκρανος	à cent têtes
ἑκατόμπυλος	à cent portes
ἑκατόνταρχος	chef de cent hommes
ἑκηβελέτης	qui lance au loin ou qui frappe de loin
ἑκκαιδεκέτης	de seize ans
ἑκοντήν	de bon gré, volontairement
ἑκοντηδόν	de bon gré, volontairement
ἑκτημορίτης	qui est la 6e~partie (d'un tout)
ἑληθερέω	se chauffer au soleil
ἑλικώδης	qui est comme roulé en spirale, sinueux, tortueux
ἑλικῶπις	fém. d’ἑλίκωψ (aux yeux mobiles ou vifs)
ἑλκητήρ	qui tire, qui arrache
ἑλκοποιός	qui fait une blessure
ἑλκυθμός	action d'être entraîné, capture avec violence
ἑλλά	Hellè
ἑλλεδανός	lien pour les gerbes, lien
ἑλώριον	butin, proie
ἑμέρα	jour
ἑνδεκέτις	âgée de onze ans
ἑξάγιον	balance ; petit poids d'un sixième d'once
ἑξάκλινον	lit de table à six places
ἑξάμηνος	de six mois
ἑξάπυλα	Hexapyles, les Six-Portes
ἑξαέτηρος	qui dure six ans
ἑξακισμυριοτετρακισχιλιοστός	soixante-quatre millième
ἑξαμηνιαῖος	de six mois
ἑξαπάλαιστος	long ou large de six palmes
ἑξείης	à la suite
ἑξεπικαιδέκατος	seizième
ἑξηκοντάκι	soixante fois
ἑξηκοντούτης	sexagénaire
ἑορτασμός	célébration d'une fête
ἑπέτις	suivante, servante
ἑπτάβοιος	garni de sept peaux de bœuf
ἑπτάπλευρον	plantain
ἑπτέτις	fém. d’ἑπτετής (âgé de sept ans)
ἑπτήμερος	de sept jours
ἑπταέτης	pendant sept ans
ἑπταέτις	fém. d’ἑπταετής (âgé de sept ans)
ἑπταγωνικός	à sept angles ; nombre heptagonal
ἑπτακαιεικοσαπλασίων	vingt-sept fois aussi grand ou nombreux
ἑπταμήνιος	de sept mois, âgé de sept mois
ἑπταπλασίων	septuple
ἑπτατείχης	garni de sept murailles
ἑπτατειχής	garni de sept murailles
ἑρμίς	pied de lit
ἑρμηνευτής	interprète
ἑρμογλύφος	sculpteur d'hermès, statuaire
ἑρμόγλυφος	sculpteur d'hermès, statuaire
ἑρπάκανθα	sorte de ronce rampante
ἑρπηστήρ	qui rampe
ἑρπτόν	tout ce qui rampe ou se traîne, bête, animal
ἑρπύλλιον	dim. d’ἕρπυλλος (serpolet)
ἑσπερινός	du soir
ἑσσόομαι	???? Renvoi sans Issue ????
ἑστιατόριον	salle de festin, salle à manger
ἑστιοῦχος	qui possède un foyer ou un autel domestique, saint, consacré ; qui préside au foyer, protecteur de la maison ; qui donne un festin comme maître de maison
ἑτέρως	de l'une ou de l'autre manière ; autrement, d'une autre manière ; autrement qu'il ne convient, mal
ἑταίρα	compagne, amie de ; maîtresse, courtisane
ἑταιρίς	courtisane
ἑταιρίστρια	courtisane
ἑτερογνώμων	qui est d'un avis différent
ἑτεροκράνιον	migraine
ἑτεροκρανικός	sujet à la migraine
ἑτεροχρωματέω	être d'une couleur différente
ἑτερόγονος	dont le père et la mère sont chacun de race différente
ἑτερόζυξ	qui a perdu son compagnon de joug, dépareillé, qui n'a plus d'égal ou de rival ; attelé avec un autre, double
ἑτερόχροιος	de couleur différente ; tacheté
ἑτερόχρωμος	de couleur différente
ἑψάω	faire cuire, faire bouillir
ἑψέω	faire cuire, faire bouillir
ἑψιέω	nourrir d'aliments cuits
ἔγγαιος	qui se trouve dans la terre ou qui provient de la terre, terrestre, (« les animaux ») ; formé de terre, terreux ; qui réside dans le sein de la terre ou qui concerne les régions souterraines ; qui consiste en terres, en biens-fonds ; qui est né dans le pays, indigène, national ; situé dans le pays
ἔγγειος	qui provient de la terre ou appartient à la terre, terrestre ; qui consiste en terre, foncier
ἔγκτασις	droit d'acquérir des biens-fonds, l'acquisition elle-même
ἔγρω	s'éveiller
ἔγχλοος	verdâtre, vert
ἔγχουσα	anchuse ; fard composé avec cette racine
ἔγχωρος	qui est dans le pays ; des champs, rustique
ἔγχῡμος	humide de suc, juteux, succulent
ἔκδρομος	qui court hors de
ἔκδυμα	dépouille
ἔκζεσμα	éruption cutanée
ἔκνοια	démence, folie
ἔκσπονδος	exclu d'un traité ; contraire aux clauses d'un traité
ἔλαχος	petit, court
ἔλλοβος	enfermé dans une gousse, une cosse
ἔλλοπος	muet ou agile
ἔμβολον	ce qui se jette ou s'enfonce dans
ἔμβρωμος	puant, infect
ἔμμουσος	musical
ἔμπεδα	qui repose solidement sur le sol, ferme, solide (mur, meuble, etc.) ; continu, incessant (garde, soin, servitude, etc.)
ἔμπλαστος	moulé, appliqué sur
ἔμπλαστρον	emplâtre
ἔμπληξις	stupidité ; instabilité, inconstance
ἔμπλησις	action de remplir ; action de rassasier, de satisfaire
ἔμποδος	qui se trouve sur le chemin, que l'on rencontre ; qui entrave, qui fait obstacle à, qui empêche
ἔναλος	&gt; ἐνάλιος ; qui se trouve près de la mer (ville)
ἔναυλον	séjour, demeure
ἔναυλος1	accompagné de la flûte ; qui résonne encore dans l'oreille
ἔναυλος2	accompagné de la flûte ; qui résonne encore dans l'oreille
ἔνδοι	au dedans, à l'intérieur
ἔνθλασμα	fracture par pression
ἔννυχος	qui vit ou agit dans les ténèbres
ἔνορχις	pourvu de ses organes génitaux, mâle ; garni d'organes génitaux (gâteau)
ἔνοψις	contemplation
ἔνσπορος	qui renferme la graine, la semence
ἔνταλμα	commandement, précepte
ἔντευγμα	rencontre
ἔνυπνος	qui apparaît en songe
ἔνυστρον	le quatrième estomac des ruminants (celui où s'achève la digestion)
ἔπακτρον	petite embarcation de pêcheur ou de pirate
ἔπειμι2	aller sur ou vers ; aller à la suite de ; aller à travers
ἔπιον	Épion, (v.)
ἔπισος	égal
ἔπυδρος	humide ; qui vit sur l'eau
ἔραζε	à terre
ἔργνυμι	enfermer, enclore
ἔρισμα	sujet de dispute
ἔροτις	fête ; réjouissance, amusement
ἔρσα	rosée, goutte de rosée
ἔρσην	???? Renvoi sans Issue ????
ἔρυγμα	rot, éructation
ἔρυξις	action de roter, éructation
ἔσθος	habit
ἔσοδος	entrée ; revenu ou impôt
ἔσοπτρον	miroir
ἔσσομαι	être ; &gt; καί ; &gt; ποῦ
ἔσω	à l'intérieur ; pendant ce temps
ἔφαβος	éphèbe
ἔφαμμα	sorte de manteau de soldat
ἔφορμος2	blocus
ἔψια	entretien familier ; amusement, badinage
ἕδωλον	banc de rameurs
ἕκατος	qui frappe au loin
ἕλη	prendre dans ses mains, saisir ; prendre à la chasse ou à la guerre, capturer ; saisir ou surprendre en flagrant délit ; être pris ; être gagné, être remporté ; être choisi ; prendre pour soi ou qqe ch. à soi ; prendre de préférence, choisir
ἕμος	mon, mien, qui m'appartient, qui me concerne ; qui s'adresse à moi ; qui m'est attaché, mon cher, mon
ἕξπους	~siècle av. J. C.
ἕρκειος	qui concerne l'enceinte d'une clôture
ἕρμα1	pendant d'oreilles ; collier
ἕρμα2	pendant d'oreilles ; collier
ἕρψις	action de ramper
ἕψεμα	ce qu'on fait cuire ou bouillir ; aliment cuit
ἕωσπερ	aussi longtemps que, tant que
Ἐκβάτανα	Ekbatane (auj. Hamadan)
Ἐκφαντίδης	Ekphantidès
Ἐλάφιος	Élaphèboliôn, ~mois~moitié de mars, 1 d'avril
Ἐλαίατις	la région du port d'Élæa
Ἐλαίη	olivier ; olive
Ἐλαιός	sorte d'oiseau
Ἐλατεία	Élateia (Élatée)
Ἐλβώ	Elbô, (île)
Ἐλείθυια	Eileithyia
Ἐλευθήρ	Éleuthère
Ἐλευθεραί	Éleuthères, (v.)
Ἐλευθερεύς	d'Éleuthères
Ἐλευσίναδε	à Éleusis
Ἐλευσινόθεν	d'Éleusis
Ἐλεφήνωρ	Éléphènor, (h.)
Ἐλεφαντίνη	Éléphantine (auj. Gazīrat il-Fantīn) (île)
Ἐλεών	Éléôn
Ἐλλοπίευς	d'Ellopia
Ἐλπήνωρ	Elpènor, (h.)
Ἐλπινίκη	Elpinikè, (f.)
Ἐλύμνιον	Élymnion, (île)
Ἐμμενίδαι	les Emménides
Ἐμπεδίας	Empédias
Ἐμπεδοκλῆς	Empédocle
Ἐνίσπη	Énispè
Ἐνδηίς	Endèïs, (f.)
Ἐνδυμίων	Endymion
Ἐνετοί	les Venètes
Ἐνιπεύς	l'Énipée, (fl.)
Ἐνιῆνες	Ænianes
Ἐνυεύς	Ényée (le Belliqueux) (h.)
Ἐξάδιος	Exadios
Ἐξήκεστος	Exèkestos, (h.)
Ἐξαίνετος	Exænétos, (h.)
Ἐξαμπαῖος	Exampæos (voies sacrées)
Ἐξηκεστίδης	Exèkestidès
Ἐορδοί	les Éordes
Ἐπάλτης	Épaltès
Ἐπάριτοι	les Éparites
Ἐπήριτος	Épèritos
Ἐπίδαμνος	Épidamnos (Épidamne) (v.)
Ἐπίδαυρος	Épidauros (Épidaure)
Ἐπίλυκος	Épilykos, (h.)
Ἐπίνικος	Épinikos, (h.)
Ἐπίστωρ	Épistôr
Ἐπίχαρμος	Épikharmos (Épicharme)
Ἐπαίνετος	Épænétos, (h.)
Ἐπαινή	redoutable, terrible
Ἐπειγεύς	Épeigée
Ἐπειός	Épeios
Ἐπιάλτης	Ephialtès
Ἐπιγένης	Épigénès, (h.)
Ἐπιδάμνιος	d'Épidamnos
Ἐπιδαύριος	d'Épidaure
Ἐπιζεφύριος	situé près du promontoire Zéphyrion
Ἐπιθέρσης	Épithersès, (h.)
Ἐπικλέης	célèbre ; connu par, qui tire son nom de
Ἐπικράτης	Épikratès, (h.)
Ἐπικυδίδας	Épikydidas, (h.)
Ἐπικύδης	Épikydès, (h.)
Ἐπιλάις	fauvette
Ἐπιμενίδης	Épiménidès (Épiménide)
Ἐπιπολή	surface
Ἐπισθένης	Épisthénès, (h.)
Ἐπιτάδας	Épitadas
Ἐπιτάλιον	Épitalion, (v.)
Ἐπιτέλης	mis à exécution, achevé, accompli ; propre à accomplir, efficace
Ἐπιφάνιος	qui apparaît
Ἐπιχάρης	Épikharès, (h.)
Ἐπώπευς	Épôpée, (h.)
Ἐράσινος	Érasinos
Ἐράσιππος	Érasippos, (h.)
Ἐράτων	Ératôn, (h.)
Ἐρέχθειον	temple d'Érekhthée
Ἐρίβοια	Éribœa, (f.)
Ἐρίγυιος	Érigyios
Ἐρίφη	Ériphè
Ἐρασίστρατος	Érasistratos (Érasistrate)
Ἐρασινίδης	Érasinidès
Ἐρασιφών	Érasiphôn, (h.)
Ἐρατίδαι	les Ératides
Ἐρατοκλείδης	Ératokleidès, (h.)
Ἐρατοσθένης	Ératosthénès (Ératosthène)
Ἐργαμένης	Ergaménès, (h.)
Ἐργασίων	paysan
Ἐργοτέλης	Ergotélès, (h.)
Ἐργῖνος	Erginos, (h.)
Ἐρεμβοί	les Érembes
Ἐρετμεύς	Éretmée (le rameur)
Ἐρετριάς	d'Érétrie
Ἐρετριεύς	d'Érétrie
Ἐρετρικός	d'Érétrie, en Eubée
Ἐρευθαλίων	Éreuthaliôn, (h.)
Ἐρεχθείδης	descendant d'Érekhthée, Athénien
Ἐρεχθηίς	d'Érekhthée
Ἐριάνθης	Érianthès, (h.)
Ἐριβώτης	Éribôtès
Ἐριγυιός	Érigyios
Ἐριούνιος	le rapide ou le bienfaisant ; bienfaisant
Ἐριφύλη	Ériphylè (Ériphyle) (f.)
Ἐριχθόνιος	Érikhthonios
Ἐριῶπις	Ériôpis
Ἐρξίης	actif, puissant
Ἐρυθεία	Érythéia, (île)
Ἐρυθῖνοι	Érythines, (v.)
Ἐρυμάνθιος	du mt Érymanthos ; du fleuve Érymanthos
Ἐρυξίμαχος	Éryximakhos, (h.)
Ἐρυξώ	Éryxô, (f.)
Ἐρχομενός	???? Renvoi sans Issue ????
Ἐρωχός	Érôkhos, (v.)
Ἐρύκινος	du mt Éryx
Ἐρύκιος	Érykios
Ἐρύλαος	Érylaos
Ἐρύμανθος	Érymanthos
Ἐρύμας	Érymante, (h.)
Ἐτέαρχος	Étéarkhos, (h.)
Ἐτέοκλος	Étéoklos (Étéocle)
Ἐτεοκλῆς	Étéoklès (Etéocle)
Ἐτεωνεύς	Étéônée
Ἐτεωνός	Étéônos, (v.)
Ἐτεόνικος	Étéonikos (vrai vainqueur)
Ἐτυμοκλῆς	Étymoklès, (h.)
Ἐυμάθης	facile à apprendre ou à comprendre ; qui apprend facilement
Ἐφάρμοστος	Épharmostos, (h.)
Ἐφέσια	fêtes d'Éphèse
Ἐφέσιος	d'Éphèse.
Ἐφεσία	territoire d'Éphèse
Ἐφεσίς	action de lancer ; action de tendre vers, de s'élancer vers, élan, désir
Ἐφουδίων	Éphoudiôn, (h.)
Ἐφύρα	Éphyra
Ἐφύροι	Éphyres, habitants d'Éphyra
Ἐχέδημος	Ekhédèmos, (h.)
Ἐχέμμων	Ekhemmôn, (h.)
Ἐχένηος	Ekhénèos
Ἐχέστρατος	Ekhestratos, (h.)
Ἐχίος	Ekhios, (h.)
Ἐχίων	Ekhiôn, (h.)
Ἐχεκράτης	Ekhékratès, (h.)
Ἐχεκρατίδης	Ekhékratidès, (h.)
Ἐχινάδες	les Ekhinades
Ἑβραίζω	parler la langue hébraïque ; être de la secte ou du parti des Hébreux
Ἑβραίς	hébraïque
Ἑβραικός	hébraïque
Ἑβραιστί	en hébreu
Ἑκάβη	Hékabè (Hécube)
Ἑκάλη	Hékalè
Ἑκαέργη	Ekaergè
Ἑκαέργος	qui repousse au loin (avec ses flèches)
Ἑκαμήδη	Hékamèdè, (f.)
Ἑκατοντάπυλος	à cent portes
Ἑκτορίδης	fils d'Hector (Astyanax)
Ἑκτόρειος	d'Hector
Ἑκτόρεος	d'Hector
Ἑλικάων	Hélikaôn, (h.)
Ἑλικωνιάδες	les Muses (habitantes de l'Hélicon)
Ἑλικών	Hélikôn
Ἑλλάδιος	Helladios, (h.)
Ἑλλάνικος	Hellanikos
Ἑλλάνιος	propre aux Grecs, d'origine hellénique
Ἑλλησποντίς	la mer de l'Hellespont
Ἑλωρός	Hélôros ou Élôros
Ἑξάπυλα	Hexapyles, les Six-Portes
Ἑρμίδιον	petit Hermès
Ἑρμίων	Hermionè (Hermione)
Ἑρμαίς	la fontaine d'Hermès
Ἑρμαγόρας	Hermagoras
Ἑρμανοῦβις	statue d'Hermès-Anoubis
Ἑρμησιάναξ	Hermèsianax
Ἑρμιονή	Hermionè (Hermione)
Ἑρμιονίς	d'Hermionè (port d’Argolide, Ermióni)
Ἑρμιονεύς	d'Hermione
Ἑρμιόνη	Hermionè (Hermione)
Ἑρμιών	Hermionè (Hermione)
Ἑρμογένης	Hermogénès (Hermogène)
Ἑρμοκλῆς	Hermoklès, (h.)
Ἑρμοκράτης	Hermokratès
Ἑρμοκρέων	Hermokréôn
Ἑρμωνεῖος	d'Hermôn
Ἑρμόδωρος	Hermodôros, (h.)
Ἑρμόλαος	Hermolaos, (h.)
Ἑρμόλυκος	Hermolykos
Ἑρμότιμος	Hermotimos, (h.)
Ἑρμόφαντος	Hermophantos, (h.)
Ἑρμῖνος	Herminos
Ἑσπερικός	des Hespérides
Ἑσπερινός	du soir
Ἑσπερῖτις	la demeure des Hespérides
Ἑστιαία	Hestiæa, (v.)
Ἑστιαῖος	Hestiæos, (h.)
Ἑστιόδωρος	Hestiodôros, (h.)
Ἔγεστα	Ségeste, (v.)
Ἔλασος	Élasos
Ἔλατος	Élatos
Ἔλυμοι	les Élymes
Ἔλωρος	Hélôros ou Élôros
Ἔμβατον	le Détroit (passage)
Ἔμποδος	qui se trouve sur le chemin, que l'on rencontre ; qui entrave, qui fait obstacle à, qui empêche
Ἔναλος	Énalos
Ἔπαφος	Épaphos
Ἔπιον	Épion, (v.)
Ἔραστος	Érastos, (h.)
Ἔρατος	aimable, charmant ; aimé
Ἔρεβόσδε	dans l'Érèbe
Ἔρεσος	Érésos (auj. Eresós) (v.)
Ἔρξανδρος	Erxandros, (h.)
Ἔρυθρος	rouge (nectar, vin, cuivre, sang, etc.)
Ἔρυξ	Éryx (mt. et v. de Sicile Erice)
Ἔρωχος	Érôkhos, (v.)
Ἔυρυτος	Eurytos, (h.)
Ἔφυρα	Éphyra
Ἔχεκλος	Ekhéklos, (h.)
Ἔχεμος	Ekhémos, (h.)
Ἔχετος	Ekhétos, (h.)
Ἔχιος	Ekhios, (h.)
Ἕβρος	l'Hèbre (auj. Marítsa Évros) (fl.)
Ἕλενος	Hélénos
Ἕλιξος	Hélixos, (h.)
Ἕλλη	Hellè
Ἕρκυνα	Herkynna ou Herkyna
Ἕρμαιος	Hermæos
Ἕρμιππος	Hermippos
Ἕρμος	Hermos
Ἕρμων	Hermôn, (h.)
Ἕρπυς	Herpys
ἠέ1	hé ! hélas !
ἠέλιος	soleil
ἠέροπος	au regard sombre
ἠελιῶτις	du soleil
ἠεροφοίτης	???? Renvoi sans Issue ????
ἠερόθεν	du haut des airs
ἠθάδιος	qui s'accoutume à, accoutumé à, habitué à ; à quoi l'on est accoutumé, habituel
ἠθάνιον	sorte de coupe ; sorte de tamis pour le mélange du vin
ἠθαῖος	frère chéri ou respecté;
ἠθητήρ	passoire, filtre
ἠθητήριον	passoire, filtre
ἠθμός	passoire, crible
ἠλοσύνη	stupidité
ἠμορίς	qui ne participe pas à, exclu de
ἠνέμιον	anémone
ἠπανία	insuffisance
ἠπειρῶτις	de la terre ferme, du continent ; d'Asie
ἠπεροπεύς	trompeur
ἠράνθεμον	sorte d'anthémis
ἠρεμότης	calme, tranquillité, repos
ἠρυγγίτης	panicaut
ἠρύγγιον	dim. d’ ἤρυγγος
ἠτριαία	les intestins
ἠυθέμεθλος	aux fondements solides
ἠχέεις	bruyant, sonore, retentissant ; rempli de bruit
ἠύπυργος	aux belles ou fortes tours
ἠύχορος	aux belles danses, aux rondes harmonieuses
ἡβήτωρ	adolescent
ἡβητήρ	adolescent
ἡβός	mûr
ἡγήτειρα	conductrice
ἡγεμονίδης	chef, premier, principal
ἡγεμόνεια	la conductrice, la maîtresse (Artémis)
ἡγεσία	action de conduire, commandement
ἡγησίστρατος	Hègèsistratos, (h.)
ἡδέως	agréablement, avec plaisir ; avec plaisir, volontiers
ἡδυλόγος	au doux langage, au langage caressant ou persuasif
ἡδυπορφύρα	sorte de coquillage à pourpre
ἡδυσμάτιον	petit assaisonnement
ἡδύγαιον	concombre
ἡδύγελως	au rire agréable
ἡδύκωμος	sorte de danse (qui égaie les festins)
ἡδύλος	Hèdylos (h.)
ἡδύοδμος	à l'odeur agréable
ἡδύοσμον	menthe (pl.)
ἡδύπνευστος	au souffle propice
ἡδύπνοος	au souffle propice
ἡλικιῶτις	fém. de ἡλικιώτης (qui est du même âge)
ἡλιόκαυστος	brûlé par le soleil
ἡλιόφυτον	smilax (pl.)
ἡλιόω	exposer au soleil
ἡλιώδης	semblable au soleil
ἡμέδιμνον	demi-médimne
ἡμίβροχος	à moitié mouillé ou arrosé
ἡμίεργος	à moitié travaillé, à moitié fait
ἡμίκαυτος	à demi brûlé
ἡμίμετρον	demi-mesure, demi-vers, hémistiche
ἡμίμναιον	demi-mine
ἡμίσεια	demi, qui forme la moitié
ἡμίτομον	moitié ; sorte de bandage
ἡμερία	le jour
ἡμεροκοίτης	rapeçon
ἡμερονύκτιον	durée d'un jour et d'une nuit, de 24~heures
ἡμεροσκόπος	qui veille pendant le jour
ἡμεροφανής	qui paraît ou se montre le jour
ἡμεροφύλαξ	garde ou sentinelle de jour
ἡμετέρειος	notre, le nôtre
ἡμιάνθρωπος	qui n'a d'un homme que la moitié du corps
ἡμιβρεχής	à moitié mouillé ou arrosé
ἡμιβρώς	à moitié mangé
ἡμιγενής	de race mêlée, croisé, imparfait ; à demi formé
ἡμιεκτέον	demi-setier
ἡμιεργής	à moitié travaillé, à moitié fait
ἡμιθνής	à demi mort
ἡμικυλίνδριον	dim. d'ἡμικύλινδρος (demi-cylindre)
