@Αἰάντειος	d'Ajax,	of Ajax
ἱμερόομαι	avoir commerce avec,	have sexual intercourse with
ἱμερόφωνος	à la voix charmante,	of lovely voice or song
ἱμονιά	corde à puits,	well-rope
ἱμονιοστρόφος	qui tire la corde du puits,	water-drawer
ἱππάζομαι	conduire des chevaux ou un cheval,	drive horses, drive a chariot
ἱππάριον	petit cheval ou jeune cheval,	pony
ἱππάστριαι	chamelles qu'on monte comme des chevaux	dromedaries
ἱππάφεσις	barrière d'où les chevaux s'élançaient dans les courses,	starting-post in a race-course
ἱππέλαφος	sorte d'élan ou de gazelle,	horse-deer
ἱππίδιον	poisson, cheval de mer,	a
ἱππαγρέται	les trois commandants du corps de cavalerie attaché à la personne du roi de Sparte en temps de guerre,	who chose
ἱππαγωγός	qui sert au transport des chevaux : 	carrying horses
ἱππακοντιστής	cavalier armé de javelot ou d'une lance,	mounted javelineer
ἱππαλεκτρυών	animal fantastique, moitié cheval, moitié coq,	horsecock, gryphon
ἱππαρμοστής	commandant de cavalerie	commander of cavalry
ἱππαρχέω	être commandant de cavalerie,	to be
ἱππαρχία	@	office of
ἱππαρχικός	qui concerne le commandement d'un corps de cavalerie, qui convient à un commandant de cavalerie,	of or for a
ἱππαστικός	qui aime aller à cheval, bon cavalier,	fond of riding
ἱππαστός	qu'on peut monter,	that can be ridden
ἱππεραστής	amateur passionné de chevaux,	lover of horses
ἱππεύς	@	one who fights from a chariot
ἱππηγέτης	conducteur de chevaux (Poseidôn)	driver of horses
ἱππηλάτης	cavalier,	driver of horses, one who fights from a chariot
ἱππηλατέω	pousser son cheval, aller à cheval ou conduire un char,	ride or drive
ἱππιάζω	imiter le sophiste Hippias,	ape Hippias
ἱππιάναξ	commandant de la cavalerie,	king of horsemen
ἱππιατρός	médecin vétérinaire,	veterinary surgeon, farrier
ἱππιοχαίτης	fait d'une crinière de cheval,	shaggy with horsehair
ἱππογέρανοι	cavaliers montés sur des grues,	crane-cavalry
ἱππογνώμων	qui se connaît en chevaux, expérimenté,	judging well of horses
ἱπποδίνητος	qui tourbillonne dans un chariot,	whirled in chariots
ἱπποδρομία	course de chevaux chars,	horse-race or chariot-race
ἱπποδρόμιος	qui concerne les courses de chevaux,	of
ἱπποθήλης	mulet qui tète une jument,	ass which has been suckled by a mare
ἱπποθυτέω	immoler des chevaux pour un sacrifice,	sacrifice horses
ἱπποκάνθαρος	escarbot dont on se sert comme d'un cheval,	horse-beetle
ἱπποκένταυρος	hippocentaure, moitié homme, moitié cheval,	horse-centaur, half-horse half-man
ἱπποκενταύρειος	d'hippocentaure,	of a centaur
ἱπποκλείδης	@	pudenda muliebria
ἱπποκομέω	soigner comme un cheval,	groom horses
ἱπποκορυστής	guerrier couvert d'un casque qui combat à cheval ou du haut d'un char,	marshaller, arranger of chariots
ἱπποκούριος	protecteur des cavaliers (Poseidôn)	tender of horses
ἱπποκρατέω	l'emporter par sa cavalerie,	to be superior in horse
ἱπποκρατία	supériorité par la cavalerie ou dans un combat de cavalerie,	victory in a cavalry action
ἱππολάπαθον	grande patience,	Rumex aquaticus, dock-sorrel
ἱππολεχής	qui a enfanté un cheval,	having given birth to a horse
ἱππολοφία	crinière de cheval sur un casque,	horse's mane
ἱππομέδων	@	horse-ruler
ἱππομανία	folle passion pour les chevaux,	mad love for horses.
ἱππομαχία	combat de cavalerie,	horse-fight, action of cavalry
ἱππομαχικός	relatif à un combat de cavalerie,	of a horse-fight
ἱππομιγής	moitié cheval, moitié homme,	partly a horse, half-horse half-man
ἱππονώμας	conducteur de chevaux,	guiding or keeping horses
ἱπποπόλος	qui s'adonne aux chevaux, qui vit à cheval,	herding horses
ἱπποπόταμος	cheval de rivière, du Nil, hippopotame,	hippopotamus
ἱπποπῆραι	porte-manteau de cavalier,	saddlebags
ἱπποσέλινον	maceron, (pl.)	Alexanders, Smyrnium olus-atrum
ἱπποσείρης	qui attelle les chevaux,	one who leads a horse by the rein
ἱπποσόας	habile à lancer les chevaux,	driving horses
ἱπποτέκτων	constructeur du cheval (de bois)	maker of the Trojan horse
ἱπποτοξότης	archer à cheval,	mounted bowman horse-archer
ἱπποτραγέλαφος	animal fantastique, à la fois cheval, bouc et cerf,	horse-goat-stag
ἱπποτροφία	action d'élever des chevaux,	breeding or keeping of horses
ἱπποτροφεῖον	endroit où l'on élève des chevaux, haras,	place for horse-breeding, stud-stable
ἱπποτυφία	faste ou orgueil excessif,	horse-pride
ἱπποτόκος	qui enfante un cheval,	horse-bearing
ἱπποφάγοι	@	horse-eaters
ἱπποφαές	hippophaé ou argousier (pl.)	spurge, Euphorbia spinosa
ἱππούραιον	queue de cheval,	horse-tail
ἱππωνέω	acheter des chevaux,	buy horses
ἱππόγυποι	cavaliers montés sur des vautours,	vulture-cavalry
ἱππόδαμος	@	tamer of horses
ἱππόδεσμα	sangle, licol,	horse-bands, reins
ἱππόδρομος	hippodrome, lieu pour les courses de chevaux ou de chars,	chariot-road
ἱππόθεν	de dessus un cheval ou en sautant de cheval,	forth from the horse
ἱππόθοος	@	swiftriding
ἱππόκρημνος	haut perché sur un cheval, emphatique,	tremendously steep
ἱππόκροτος	qui retentit du bruit des chevaux,	sounding with the tramp of horses
ἱππόλοφος	garni d'une crinière de cheval,	with horsehair crest
ἱππόλυτος	qui délie les chevaux,	letting horses loose
ἱππόμαχος	@	fighting on horseback, trooper
ἱππόμητις	habile à manier les chevaux,	skilled in horses or in riding
ἱππόμορφος	qui a la forme d'un cheval,	horse-shaped, horse-like
ἱππόνικος	@	victorious in the chariot-race
ἱππόπορνος	infâme débauché,	excessive prostitute
ἱππόταυρος	moitié cheval, moitié taureau,	horse-bull
ἱππότης	@	@
ἱππότης2	idée que l'esprit conçoit du cheval,	@
ἱππότιγρις	sorte de grand tigre,	a large
ἱππότιλος	diarrhée des chevaux,	diarrhoea of horses
ἱππόφαιστον	see <lang="grc">ἱπποφαές</grc>	Centaurea spinosa
ἱππόφεως	see <lang="grc">ἱπποφαές</grc>	spurge, Euphorbia acanthothamnos
ἱππόφλομος	molène, bouillon blanc, (pl.)	giant
ἱππώδης	qui ressemble au cheval ou de la nature du cheval,	horse-like
ἱρωστί	see <lang="grc">ἱερωστί</grc>	in sacred fashion
ἱρωσύνη	see <lang="grc">ἱερωσύνη</grc>	priesthood
ἱσπανία	@	Spain
ἱστίον	toile,	web, cloth, sheet
ἱστιοδρομέω	cingler à pleines voiles,	run under full sail
ἱστιορράφος	qui coud des toiles à voile, arrangeur de ficelles, charlatan,	sailpatcher
ἱστιόκωπος	avec voiles et rames,	with oars and sails
ἱστοδόκη	chevalet sur lequel on renverse le mât d'un vaisseau,	mast-holder
ἱστοκεραία	antenne,	sail-yard
ἱστοπέδη	partie d'un navire où s'emboîte le pied du mât,	a piece of wood
ἱστοπόνος	qui travaille à la toile, qui sert au travail de la toile,	working at the loom
ἱστοριογραφέω	écrire l'histoire,	write history
ἱστοριογραφία	travail d'historien,	history-writing
ἱστόριον	indice, témoignage,	fact or illustration in proof
ἱστός	objet dressé,	anything set upright
ἱστότονος	tendu sur un métier de tisserand,	stretched on the loom
ἱστών	atelier de tisserand,	weaving-shed
ἴα2	see <lang="grc">ἴος</grc>	@
ἴακχος	@	song
ἴασις	guérison,	healing, mode of healing, remedy
ἴασπις	jaspe,	jasper
ἴδη	@	@
ἴδη1	nuance ou teinte légère,	@
ἴδη2	vallon boisé dans les montagnes,	@
ἴδηαι	see <lang="grc">εἴδω</grc>	beautiful
ἴδισις	action de suer, sueur,	sweating, perspiring
ἴδμων	instruit de, habile dans,	having knowledge of
ἴεσις	action d'aller,	going
ἴθι	va! allons!	come, go
ἴθμα	marche, mouvement,	step, motion
ἴθρις	eunuque,	eunuch
ἴκελος	@	like, resembling
ἴκμενος	vent favorable	a fair
ἴκμη	sorte de plante qui croît dans les lieux humides,	a plant growing in moist places, duckweed, Lemna minor
ἴκμιος	humide,	moist
ἴκταρ2	sorte de poisson,	@
ἴκτις	fouine,	the
ἴλαρχος	@	praefectus turmae
ἴλη	troupe,	band, troop
ἴλιγγος	tournoiement,	spinning round
ἴλιος	@	Ilium, the city of Ilus, Troy
ἴλλω	rouler,	plait
ἴλλωσις	roulement d'yeux,	distortion
ἴνδαλμα	image, forme, apparence,	form, appearance
ἴξ	ver qui s'attaque aux vignes,	worm or grub that destroys the vine-buds
ἴξαλος	bondissant,	bounding, springing
ἴον	violette, fleur,	violet, Viola odorata
ἴονθος	petit bouton sur la peau,	root of a hair, young hair
ἴουλος	tout objet velu ou chevelu,	down, the first growth of the whiskers and beard
ἴπνη	grimpereau,	woodpecker
ἴπνιος	qui concerne les lieux d'aisances ou les excréments,	of an oven
ἴπνον	sorte de musc,	mare's-tail, Hippuris vulgaris
ἴπωσις	pression, compression,	pressing hard, squeezing
ἴρινος	d'iris ;	made from the iris
ἴς	@	@
ἴς1	@	@
ἴς2	@	@
ἴσαν	aller,	they went
ἴσανδρος	@	like a man
ἴσθι	être, savoir.	know
ἴσθμιον	ce qui concerne le cou ou la gorge,	anything belonging to the neck or throat, necklace
ἴσθμιος	de l'isthme (de Corinthe), isthmique, 	of or belonging to the Isthmus, Isthmian
ἴσκω2	dire (v.)	@
ἴσος	égal,	equal
ἴσχαιμος	qui arrête le sang, 	staunching blood
ἴσχνανσις	amaigrissement,	emaciation
ἴτον	sorte de truffe,	mushroom
ἴτριον	sorte de pain d'épice au miel et au sésame,	cake
ἴττω	see <lang="grc">εἴδω</grc>	be witness!
ἴτυς	@	@
ἴτω	aller ; eh bien donc ! soit!	go to!
ἴφιος	troupeau de moutons forts, vigoureux	fat, goodly
ἴφυον	sorte de légume,	spike-lavender, Lavandula Spica
ἴχνευσις	action de chercher ou de suivre la piste,	tracking
ἴψ	ver qui ronge le bois,	wood-worm
ἴψος	@	@
ἴων	@	the Ionians
ἴωψ	sorte de poisson inconnu	a small fish
ἵδρυμα	construction assise,	establishment, foundation
ἵδρωα	pustules, échauboulures,	heat-spots, pustules
ἵζημα	enfoncement,	subsidence, sinking
ἵκω	venir :	come
ἵλασμα	sacrifice propitiatoire,	propitiation
ἵλημι	être propice, favorable,	be gracious!
ἵππαγρος	cheval sauvage,	wild horse
ἵππαιχμος	qui combat à cheval,	fighting on horseback, equestrian
ἵππαρχος	@	ruling the horse
ἵππασμα	course à cheval,	a ride
ἵππειος	qui concerne les chevaux, de cheval,	of a horse or horses
ἵππερος	folle passion pour les chevaux,	horse-fever
ἵππευμα	course à cheval, trajet qu'on fait à cheval ou en voiture,	ride on horseback or journey in a chariot
ἵππουρος	à queue de cheval,	horse-tailed
ἵσμα	monument élevé, tombeau,	foundation, seat
ἶνις	enfant, fils ou fille,	son
ἶρις	@	rainbow
ἶρος	@	an Irus
ἶφι	avec force, courage ou puissance ;	@
ὀάρισμα	see <lang="grc">ὀαρισμός</grc>	familiar converse
ὀαριστής	qui vit en commerce intime avec, compagnon familier,	familiar friend
ὀγδοάς	groupe de huit, huitaine,	the number eight
ὀγδοήκοντα	quatre-vingts,	eighty
ὀγδοαδικός	qui concerne le nombre huit,	belonging to the number eight
ὀγδοαῖος	qui vient ou se fait le 8e~jour,	on the eighth day
ὀγδοηκοντάπηχυς	de 80~coudées,	eighty cubits long
ὀγδοηκοντατάλαντος	de 80~talents,	possessed of eighty talents
ὀγδοηκοντούτης	âgé de 80~ans,	eighty years old
ὀγδοηκοσταῖος	qui vient ou se fait le 80~jour,	on the eightieth day
ὀγδοηκοστός	quatre-vingtième,	eightieth
ὀγδοημόριον	la huitième partie, le huitième,	eighth part, Inscr. DÃ©los
ὀγδόατος	see <lang="grc">ὄγδοος</grc>	the eighth
ὀγκάομαι	braire,	bray
ὀγκηθμός	braiement,	braying
ὀγκηρός	volumineux, gros, enflé, gonflé, 	bulky, swollen
ὀγκηστής	qui brait,	brayer
ὀγκωτός	formé d'un monceau (de terre)	heaped up
ὀγκόω	enfler,	raise up, rear
ὀγκύλλομαι	se gonfler, s'enorgueillir,	to be swollen
ὀγκώδης	enflé,	@
ὀγκώδης1	enflé,	@
ὀγκώδης2	qui brait avec force,	@
ὀδάξ	avec les dents, en mordant,	by biting with the teeth
ὀδακτάζω	see <lang="grc">ὀδαξάω</grc>	bite, gnaw
ὀδμήεις	qui exhale une odeur,	giving out a smell
ὀδμαλέος	qui exhale une odeur forte,	strong-smelling, stinking
ὀδοντάγρα	davier (arrache-dents)	forceps for drawing teeth
ὀδοντάριον	petite dent,	small cog
ὀδοντίασις	dentition,	teething
ὀδοντίζω	garnir de dents,	polish with a tooth
ὀδονταλγέω	avoir mal aux dents,	suffer from toothache
ὀδονταλγία	mal aux dents	toothache
ὀδοντικός	qui concerne les dents,	dental
ὀδοντοειδής	en forme de dents,	tooth-shaped
ὀδοντοφυέω	faire ses dents,	cut teeth
ὀδοντοφυής	né des dents (du dragon)	sprung from the dragon's teeth
ὀδοντοφόρος	dentelé,	bearing teeth
ὀδοντωτός	dentelé,	with large teeth
ὀδοντόκερας	dent en forme de corne,	horn-tooth
ὀδυνάω	causer de la douleur, affliger,	cause
ὀδυνήφατος	qui supprime la douleur,	killing
ὀδυνηρός	douloureux,	painful
ὀδυνηφόρος	qui cause de la douleur,	causing pain
ὀδυνοσπάς	déchiré (tiraillé) par la douleur,	racked by pain
ὀδυνώδης	douloureux,	painful
ὀδυρμός	plainte, lamentation,	lamentation
ὀδυρτός	lamentable, 	mourned for, lamentable
ὀδυσσεύς	@	Odysseus
ὀδωδή	odeur,	smell, scent
ὀδύνη	douleur :	pain of body
ὀδύνημα	sujet de douleur,	pain
ὀδύρτης	celui qui se lamente,	complainer
ὀζαινικός	atteint d'ozène,	having or belonging to an
ὀζαλέος	noueux,	branching
ὀζωτός	branchu,	branching
ὀζόλαι	@	the Ozolae
ὀζόομαι	former des nœuds, pousser en branches,	put forth branches or knots
ὀζόστομος	dont la bouche sent mauvais,	with foul breath
ὀθνεῖος	étranger,	strange, foreign
ὀθόνινος	de linge fin,	of fine linen
ὀκλαδιστί	see <lang="grc">ὀκλαδόν</grc>	hopping
ὀκλαδόν	en s'accroupissant, à croupeton,	with bent hams, in crouching, cowering posture
ὀκνηρός	lent,	shrinking, timid
ὀκριάζω	see <lang="grc">ὀκριάω</grc>	to be rough or angry
ὀκριοειδής	semblable à une pointe,	rugged, jagged
ὀκριόεις	qui a des protubérances, âpre, raboteux,	having many points or roughnesses, rugged, jagged
ὀκρυόεις	qui donne le frisson, effrayant, horrible,	chilling, horrible
ὀκτάγωνος	à huit angles,	eight-cornered
ὀκτάδραχμος	qui pèse ou vaut huit drachmes,	worth eight drachmae
ὀκτάεδρος	à huit faces, octaèdre, 	eight-sided
ὀκτάκις	huit fois,	eight times
ὀκτάκνημος	à huit rayons,	eight-spoked
ὀκτάκωλος	de huit membres,	of eight lines
ὀκτάμετρος	de huit mesures ou pieds,	of eight measures :
ὀκτάμηνος	de huit mois,	eight months old, in the eighth month
ὀκτάπηχυς	de huit coudées,	eight cubits long
ὀκτάπλεθρος	long ou large de huit plèthres,	eight plethra long or large
ὀκτάρριζος	à huit racines ou ramifications,	with eight roots
ὀκτάρρυμος	à huit timons,	with eight poles
ὀκτάς	huitaine, le nombre huit,	the number eight
ὀκτάσημος	à huit temps (à huit signes)	of eight times
ὀκτάστυλος	à huit colonnes,	with eight columns in front
ὀκτάτομος	divisé en huit parties,	divided into eight tomes
ὀκτάτονος	tendu en huit parties, au nombre de huit,	eight-stretched
ὀκτάχορδος	à huit cordes,	with eight strings or notes
ὀκτάχρονος	de huit années,	composed of eight time-units
ὀκτήρης	ajusté huit fois : 	warship with eight rowers to each oar
ὀκταέτης	de huit ans,	eight years old
ὀκταήμερος	de huit jours,	eight days old
ὀκταδάκτυλος	de huit doigts,	eight fingers long or broad
ὀκταετηρίς	période de huit années,	cycle of eight years
ὀκτακισμύριοι	quatre-vingt mille,	eighty thousand
ὀκτακισχίλιοι	huit mille,	eight thousand
ὀκτακοσιοστός	huit-centième,	eight-hundredth
ὀκτακόσιοι	huit cents,	eight hundred
ὀκτακότυλος	de huit cotyles,	holding eight cotylae
ὀκταλοχία	à huit compagnies,	force of eight
ὀκταμερής	qui se compose de huit parties,	of or in eight parts
ὀκταπάλαιστος	de huit	eight palms wide or long
ὀκταπλάσιος	huit fois aussi grand,	eightfold
ὀκτασκελής	à huit jambes ou pieds,	eight-legged
ὀκτωκαίδεκα	dix-huit,	eighteen
ὀκτωκαιδέκατος	dix-huitième,	eighteenth
ὀκτωκαιδεκάδραχμος	qui vaut ou a pour masse 18~drachmes,	at the price of eighteen drachmae
ὀκτωκαιδεκάπηχυς	de 18~coudées,	eighteen cubits long
ὀκτωκαιδεκάς	le nombre dix-huit,	the number eighteen
ὀκτωκαιδεκάσημος	de 18~temps ou mesures,	of eighteen times
ὀκτωκαιδεκέτης	qui a 18~ans,	eighteen years old
ὀκτωκαιδεκαταῖος	qui arrive ou se fait le 18e~jour,	on the eighteenth day
ὀκτωκαιεικοσίφθογγος	de vingt-huit sons,	of twenty-eight notes
ὀκτωκαιεικοσαπλασίων	28~fois plus grand,	twenty-eight-fold
ὀκτώ	huit,	eight
ὀκτώφορος	litière portée par huit hommes,	borne by eight, octophorus lectica or octophorus
ὀλέκω	faire périr, perdre,	ruin, destroy, kill
ὀλίγαιμος	qui a le sang pauvre,	scant of blood
ὀλίγοζος	qui a peu de pousses ou de branches,	with few branches
ὀλεθρεύω	perdre, ruiner,	slay, destroy
ὀλεθροφόρος	qui apporte la ruine, funeste,	destruction-bringing
ὀλερός	trouble, bourbeux,	impure, turbid
ὀλεσήνωρ	qui perd les hommes,	man-destroying
ὀλεσίθηρ	qui détruit les bêtes féroces,	beast-slaying
ὀλεσίπτολις	qui ruine ou détruit une ville ou des villes,	city-destroying
ὀλεσισιαλοκάλαμος	qui détruit la salive, qui assèche la bouche,	made of spittle-wasting reed
ὀλετήρ	destructeur, meurtrier,	destroyer, murderer
ὀλιγάκις	peu souvent, rarement,	but few times, seldom
ὀλιγάμπελος	qui n'a que peu de vignes,	scant of vines
ὀλιγάρχης	oligarque,	oligarch
ὀλιγήμερος	de peu de jours ou en peu de jours,	of or lasting a few days
ὀλιγήριος	petit,	small
ὀλιγαιμία	pauvreté du sang,	want of blood
ὀλιγανδρέω	avoir peu d'hommes, manquer d'hommes,	to be scant of men
ὀλιγανδρία	manque d'hommes,	scantiness of men
ὀλιγανθρωπέω	see <lang="grc">ὀλιγανδρέω</grc>	are short of their number
ὀλιγαριστία	mince dîner,	scanty meal
ὀλιγαρκέω	se contenter de peu,	to be contented with little
ὀλιγαρκής	qui se contente de peu, 	contented with little
ὀλιγαρκία	see <lang="grc">ὀλιγάρκεια</grc>	contentment with little
ὀλιγαρχέω	être membre d'une oligarchie,	to be a member of an oligarchy
ὀλιγαρχία	oligarchie,	oligarchy, government in the hands of a few families or persons
ὀλιγαχοῦ	en peu d'endroits,	in a few places
ὀλιγαχόθεν	de peu d'endroits de,	from some few parts
ὀλιγαῦλαξ	offrant peu de terre arable, qui ne se prête pas à la culture (qui a un petit territoire pauvre en sillons),	having but little arable land
ὀλιγεκτέω	avoir peu de fortune,	have little
ὀλιγηπελής	faible, épuisé,	weak, powerless
ὀλιγηπελία	faiblesse, épuisement,	weakness, faintness
ὀλιγηροσίη	petite terre labourée, petit champ,	want of arable land
ὀλιγησίπυος	qui a une petite corbeille à pain, pauvre en pain,	with little corn, or with a small bread-basket
ὀλιγοέλαιος	qui a ou donne peu d'huile,	producing but little oil
ὀλιγογονία	production ou descendance peu féconde,	production of few offspring
ὀλιγογόνατος	qui a peu d'articulations ou de nœuds,	with few joints
ὀλιγοδίαιτος	qui vit de peu,	living on little
ὀλιγοδεής	de peu de besoins,	wanting little
ὀλιγοδρανέω	être faible, épuisé, exténué,	able to do little, feeble, powerless
ὀλιγοδρανής	faible, épuisé, exténué,	of little might, feeble
ὀλιγοδρανία	faiblesse, épuisement,	weakness, feebleness
ὀλιγοεργής	qui travaille peu, faible, impuissant,	of little strength
ὀλιγοετία	jeune âge, jeunesse,	fewness of years, youth
ὀλιγοκάλαμος	qui a peu de tiges,	with few reeds or stalks
ὀλιγοκίνητος	dont le mouvement est insensible,	little-moving
ὀλιγομυθία	action de parler peu, parole brève ou concise,	speaking little
ὀλιγοποιέω	réduire à un petit nombre,	make few, diminish
ὀλιγοπονία	travail insuffisant, paresse,	sparingness in labour, idleness
ὀλιγοποσία	tempérance dans la boisson,	moderation in drinking
ὀλιγοποτέω	boire peu,	drink little
ὀλιγοπράγμων	qui s'occupe peu ou de choses peu importantes,	averse to business, retiring
ὀλιγοπραγμοσύνη	action de s'occuper de peu de chose ou de choses peu importantes,	a retired life
ὀλιγοπότης	qui boit peu,	one who drinks little
ὀλιγοσιτέω	manger peu,	eat little
ὀλιγοσιτία	sobriété,	small eating, moderation in food
ὀλιγοστιχία	ensemble de peu de vers,	the consisting of few lines
ὀλιγοστός	qui est sous-multiple d'une quantité donnée, peu considérable :	with few companions
ὀλιγοσύνδεσμος	qui a peu de conjonctions,	sparing of conjunctions
ὀλιγοτοκία	production ou portée de peu de petits à la fois,	the bringing forth of few
ὀλιγοτροφία	insuffisance de nourriture,	little nourishment
ὀλιγοφιλία	petit nombre d'amis,	fewness of friends
ὀλιγοφόρος	qui supporte peu l'eau,	that can bear but little
ὀλιγοχορδία	petit nombre de cordes,	fewness of strings
ὀλιγοχρήματος	qui a peu d'argent, peu de fortune,	of or with little money
ὀλιγοχρονιότης	see <lang="grc">ὀλιγοχρονία</grc>	shortness of time
ὀλιγοχρόνιος	qui dure peu, de courte durée,	of short duration, short-lived
ὀλιγοψυχέω	être pusillanime, peu courageux,	to be faint
ὀλιγωρέω	s'inquiéter peu, se préoccuper peu,	esteem little or lightly, make small account of
ὀλιγωρία	indifférence, négligence, mépris,	an esteeming lightly, contempt
ὀλιγωφελής	peu utile,	of little use
ὀλιγόγονος	qui produit peu, peu fécond,	producing few offspring
ὀλιγόδουλος	qui a peu d'esclaves,	having but few slaves
ὀλιγόθερμος	qui n'a que peu de chaleur,	having little heat
ὀλιγόκαιρος	qui a peu de temps pour agir,	brooking no delay
ὀλιγόκαρπος	qui n'a que peu de fruits,	bearing little fruit
ὀλιγόκαυλος	qui n'a que peu de tiges,	with few stalks
ὀλιγόκλαδος	qui a peu de branches,	with few branches
ὀλιγόμισθος	dont le salaire est modique,	receiving small wages
ὀλιγόνειρος	qui rêve peu ou rarement,	with few dreams
ὀλιγόξυλος	qui n'a que peu de bois,	with little wood, shrubby
ὀλιγόπαις	qui a peu d'enfants,	with few children
ὀλιγόπιστος	qui a peu de foi, de peu de foi,	of little faith
ὀλιγόπονος	qui travaille peu,	working little
ὀλιγόποτος	qui boit peu,	drinking little
ὀλιγόπτερος	qui n'a que peu de plumes,	with few feathers
ὀλιγόπυρος	qui a ou produit peu de froment,	with few grains of wheat
ὀλιγόρριζος	qui n'a que peu de racines,	with few roots
ὀλιγόσιτος	qui mange peu,	eating little or moderately
ὀλιγόσπερμος	dont la semence est peu abondante,	having little seed
ὀλιγόστιχος	qui ne comprend que peu de lignes ou de vers,	consisting of few lines
ὀλιγότριχος	see <lang="grc">ὀλιγόθριξ</grc>	having few hairs
ὀλιγόφρων	peu intelligent,	of small understanding
ὀλιγόφυλλος	qui n'a que peu de feuilles, peu feuillu,	having few leaves
ὀλιγόφωνος	qui a peu de voix, peu de son,	with little tone
ὀλιγόχοος	qui rapporte (qui verse) peu,	yielding little
ὀλιγόχυλος	qui n'a que peu de suc,	with little juice
ὀλιγόψυχος	pusillanime,	faint-hearted, feeble-minded
ὀλισθητικός	qui fait glisser,	making slippery
ὀλισθογνωμονέω	glisser sur la pente de ses réflexions, s'égarer dans ses pensées,	make a slip in judgement
ὀλοεργής	see <lang="grc">ὀλοεργός</grc>	ruinous, destructive
ὀλοθρεύω	exterminer, ruiner, détruire,	destroy
ὀλολυγή	cri aigu :	loud cry
ὀλολυγμός	cri aigu	loud cry
ὀλοφλυκτίς	pustule,	large pimple
ὀλοφυδνός	plaintif, lamentable, 	lamenting
ὀλοφυρμός	lamentation,	lamentation
ὀλοφυρτικός	plaintif, qui se lamente,	inclined to lamentation, querulous
ὀλυμπία	@	Olympia
ὀλυμπιάς2	@	Olympian
ὀλυμπιακός	@	Olympian
ὀλυμπικός	@	of Olympus
ὀλυμπιόνικος	@	victorious in the Olympic games
ὀλυνθάζω	féconder les palmiers femelles avec le pollen des palmiers mâles,	impregnate the female palm-tree with the pollen of the male
ὀλυρίτης	fait avec de l'épeautre,	made of
ὀλόλυγμα	cri aigu	loud cry
ὀλόφυρσις	lamentation,	lamentations
ὀλύμπιος	@	Olympian, of Olympus, dwelling on Olympus
ὀμμάτειος	qui naît d'un regard,	received through the eyes
ὀμματογράφος	qui sert à teindre les paupières,	painting or staining the eyes
ὀμματοποιός	qui fait voir (qui fait des yeux)	causing to see
ὀμοργάζω	see <lang="grc">ὀμόργνυμι</grc>	wipe off
ὀμφάκινος	de raisin de fruits encore verts, 	made from unripe grapes
ὀμφάλιος	ombiliqué, arrondi ou bombé,	having a boss, bossy
ὀμφή	voix,	voice
ὀμφήεις	prophétique,	oracular, prophetic
ὀμφακίζω	n'être pas encore mûr, être vert, acide,	to be unripe
ὀμφακίς	cupule des glands employée en tannerie,	cup of the acorn
ὀμφακηρός	de verjus,	for holding
ὀμφακόμελι	boisson faite de verjus et de miel,	drink of sour grapes and honey
ὀμφακώδης	semblable à du verjus, acide, sur,	like unripe grapes
ὀμφαλητομία	section du cordon ombilical,	cutting of the navel-string, midwifery
ὀμφαλητόμος	médecin ou sage-femme, qui coupe le cordon ombilical,	cutting the navel-string
ὀμφαλοτομητέον	il faut couper le cordon ombilical,	one must sever the navel-string
ὀμφαλωτός	creusé ou bombé en forme de nombril,	made with a boss
ὀμφαλόκαρπος	aux fruits ombiliqués,	bearing fruit like an
ὀμφαῖος	prophétique, 	prophetic, oracular
ὀμφητήρ	qui rend des oracles, prophète,	soothsayer
ὀμόργνυμι	essuyer, enlever en essuyant ; supprimer,	wipe
ὀμόω	see <lang="grc">ὄμνυμι</grc>	swear
ὀνάριον	petit âne, ânon,	Vit.Aesop. Oxy.
ὀνέλαφος	âne-cerf,	antelope
ὀνήσιμος	@	useful, profitable, beneficial
ὀνήτωρ	@	beneficial
ὀνίας	sorte d'esturgeon,	scarus
ὀνίδιον	ânon,	little ass
ὀνίς	fiente d'âne, crotte d'âne,	ass's dung
ὀναγός	ânier,	ass-driver
ὀνείδισμα	blâme, reproche,	insult, reproach, blame
ὀνείρειος	qui concerne les songes,	of dreams
ὀνείρωξις	rêve, songe,	dreaming, hallucination
ὀνειδισμός	injure, outrage, reproche,	reproach, Ep. Rom.
ὀνειδιστήρ	injurieux, outrageant,	abusive
ὀνειδιστής	see <lang="grc">ὀνειδιστήρ</grc>	one who reproaches with
ὀνειδιστικός	injurieux, outrageant,	reproachful, abusive
ὀνειρογενής	né dans un songe,	born of a dream
ὀνειροκρίτης	qui interprète les songes,	interpreter of dreams
ὀνειροκρισία	interprétation des songes,	interpretation of dreams
ὀνειροπολικός	qui concerne l'interprétation des songes ;	of or for dreaming
ὀνειροπομπός	qui envoie des songes,	sending dreams
ὀνειροπόλησις	see <lang="grc">ὀνειροπολία</grc>	dreaming
ὀνειροτόκος	qui enfante des songes, des rêves,	dream-producing
ὀνειρωγμός	perte séminale dans un songe,	effusion during sleep
ὀνειρόμαντις	qui prédit l'avenir d'après les songes,	interpreter of dreams
ὀνειρόφαντος	qui apparaît en songe,	appearing in dreams
ὀνειρόφρων	instruit ou éclairé par un songe,	versed in dreams and their interpretations
ὀνειρώδης	semblable à un songe, aussi vain qu'un songe,	dream-like
ὀνηλάτης	ânier,	donkeydriver
ὀνηλασία	action de conduire un âne ou des ânes,	driving of donkeys
